"movie","title","genre","gross","inflationAdjustedGross"
"http://dbpedia.org/resource/$1,000_Reward","$1,000 Reward",,,0
"http://dbpedia.org/resource/$1,000_a_Touchdown","$1,000 a Touchdown",,,0
"http://dbpedia.org/resource/$10_Raise","$10 Raise",,,0
"http://dbpedia.org/resource/$20_a_Week","$20 a Week",,,0
"http://dbpedia.org/resource/$30,000","$30,000",,,0
"http://dbpedia.org/resource/$30,000","$30,000",,,0
"http://dbpedia.org/resource/$50,000_Reward","$50,000 Reward",,,0
"http://dbpedia.org/resource/'49–'17","'49–'17",,,0
"http://dbpedia.org/resource/'Blue_Blazes'_Rawden","'Blue Blazes' Rawden",,,0
"http://dbpedia.org/resource/'Blue_Blazes'_Rawden","'Blue Blazes' Rawden",,,0
"http://dbpedia.org/resource/'Fraidy_Cat","'Fraidy Cat",,,0
"http://dbpedia.org/resource/'Fraidy_Cat","فريدي كات",,,0
"http://dbpedia.org/resource/'If_Only'_Jim","'If Only' Jim",,,0
"http://dbpedia.org/resource/'If_Only'_Jim","Jim il minatore",,,0
"http://dbpedia.org/resource/'If_Only'_Jim","'If Only' Jim",,,0
"http://dbpedia.org/resource/'If_Only'_Jim","«Якщо тільки» Джим",,,0
"http://dbpedia.org/resource/'In_Wrong'_Wright","'In Wrong' Wright",,,0
"http://dbpedia.org/resource/'Neath_Brooklyn_Bridge","'Neath Brooklyn Bridge",,,0
"http://dbpedia.org/resource/'Neath_Brooklyn_Bridge","'Neath Brooklyn Bridge",,,0
"http://dbpedia.org/resource/'Neath_Canadian_Skies","'Neath Canadian Skies",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","'Neath the Arizona Skies",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","Unter dem Himmel von Arizona",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","Sous le soleil d'Arizona",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","Sotto i cieli dell'Arizona",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","'Neath The Arizona Skies",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","'Neath the Arizona Skies",,,0
"http://dbpedia.org/resource/'Neath_the_Arizona_Skies","Під небесами Арізони",,,0
"http://dbpedia.org/resource/'Til_Death_Do_Us_Part_(film)","'Til Death Do Us Part (film)",,"3500000.0",3850000
"http://dbpedia.org/resource/'Til_We_Meet_Again","'Til We Meet Again",,,0
"http://dbpedia.org/resource/'Til_We_Meet_Again","Voyage sans retour (film, 1940)",,,0
"http://dbpedia.org/resource/'Til_We_Meet_Again","Trovarsi ancora",,,0
"http://dbpedia.org/resource/'Til_We_Meet_Again","Tills vi mötas igen...",,,0
"http://dbpedia.org/resource/'Twas_Ever_Thus","'Twas Ever Thus",,,0
"http://dbpedia.org/resource/'Twas_Ever_Thus","'Twas Ever Thus (film 1915)",,,0
"http://dbpedia.org/resource/'night,_Mother_(film)","'night, Mother (film)",,"441863.0",486049.3
"http://dbpedia.org/resource/'night,_Mother_(film)","Goodnight Mother",,"441863.0",486049.3
"http://dbpedia.org/resource/'night,_Mother_(film)","Una finestra nella notte",,"441863.0",486049.3
"http://dbpedia.org/resource/'night,_Mother_(film)","Dobranoc, mamusiu",,"441863.0",486049.3
"http://dbpedia.org/resource/(_)_(film)","( ) (film)",,,0
"http://dbpedia.org/resource/-30-_(film)","-30- (film)",,,0
"http://dbpedia.org/resource/-30-_(film)","-30-",,,0
"http://dbpedia.org/resource/...And_God_Created_Them","...And God Created Them",,,0
"http://dbpedia.org/resource/...And_God_Created_Them","Dios los cría (película de 1979)",,,0
"http://dbpedia.org/resource/...And_God_Created_Them","Dios los cría...",,,0
"http://dbpedia.org/resource/...One_Third_of_a_Nation...","...One Third of a Nation...",,,0
"http://dbpedia.org/resource/...One_Third_of_a_Nation...","Dans une pauvre petite rue",,,0
"http://dbpedia.org/resource/...One_Third_of_a_Nation...","Quartiere maledetto",,,0
"http://dbpedia.org/resource/.45_Calibre_War",".45 Calibre War",,,0
"http://dbpedia.org/resource/1,000_Dollars_a_Minute","1,000 Dollars a Minute",,,0
"http://dbpedia.org/resource/1,000_Dollars_a_Minute","1,000 Dollars a Minute",,,0
"http://dbpedia.org/resource/1,000_Dollars_a_Minute","1,000 Dollars a Minute",,,0
"http://dbpedia.org/resource/1,000_Dollars_a_Minute","1,000 Dollars a Minute",,,0
"http://dbpedia.org/resource/1-2-3_Go","1-2-3 Go",,,0
"http://dbpedia.org/resource/1-2-3_Go","1-2-3 Go",,,0
"http://dbpedia.org/resource/10,000_Kids_and_a_Cop","10,000 Kids and a Cop",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 مرقش 2",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatians II: Patch's London Adventure",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 dalmatinů II: Flíčkova londýnská dobrodružství",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatiner Teil 2 – Auf kleinen Pfoten zum großen Star!",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","Τα 101 σκυλιά της Δαλματίας ΙΙ: Η περιπέτεια του Πάτσα",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatians II: Patch's London Adventure",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatians II: Patch's London Adventure",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 dálmatas 2",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101 Dalmatians II: Patch's London Adventure",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","Les 101 Dalmatiens 2",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","La carica dei 101 II - Macchia, un eroe a Londra",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101마리 강아지 2: 패치의 런던 대모험",,,0
"http://dbpedia.org/resource/101_Dalmatians_II:_Patch's_London_Adventure","101匹わんちゃんII パッチのはじめての冒険",,,0
